Tijd,Substraat,Biomassa
13.3,0.0199719511,0.000278917453219
13.4,0.0209764866,0.000296938533935
13.5,0.0199535853,0.000286802260746
13.6,0.0213754125,0.000311426915346
13.7,0.0197861194,0.000292917343550
13.8,0.0181822412,0.000272775327784
13.9,0.0214591696,0.000325371767086
14,0.0191851959,0.000295635831178
14.1,0.0181401935,0.000282996096930
14.2,0.0198029571,0.000312219330372
14.3,0.0185718363,0.000296749242398
14.4,0.0195000599,0.000315122415303
14.5,0.0193987205,0.000317544943647
14.6,0.0213360211,0.000353723900868
14.7,0.0180497124,0.000304080001552
14.8,0.0183462947,0.000312331227184
14.9,0.01881872,0.000323907870521
15,0.0200303259,0.000348842145571
15.1,0.0180564753,0.000318844798084
15.2,0.0201127897,0.000358907539903
15.3,0.0199834022,0.000361621310032
15.4,0.0206784117,0.000379391608907
15.5,0.0184944918,0.000344450207432
15.6,0.0193885294,0.000365201940798
15.7,0.0190430273,0.000363318903452
15.8,0.0183158726,0.000353747508813
15.9,0.0176395112,0.000344458264564
16,0.021054664,0.000415234318041
16.1,0.019177899,0.000384209303799
16.2,0.0180661192,0.000366489442698
16.3,0.0212088183,0.000434841575708
16.4,0.0190906639,0.000397736229554
16.5,0.0180015145,0.000379722713145
16.6,0.0209422083,0.000446444215661
16.7,0.0178338726,0.000386161764600
16.8,0.0181142354,0.000396296190171
16.9,0.0177654612,0.000392878451748
17,0.0189184226,0.000422664346184
17.1,0.0184786633,0.000417885785897
17.2,0.0180213697,0.000412221915980
17.3,0.0205475782,0.000475037266937
17.4,0.0192508307,0.000451776597990
17.5,0.0188323846,0.000447634870571
17.6,0.0192282586,0.000462591799061
17.7,0.0206046608,0.000502068023329
17.8,0.0210555853,0.000520892900319
17.9,0.0199405136,0.000501256452575
18,0.0182357772,0.000464896998707
18.1,0.0200339829,0.000516465234071
18.2,0.0209015345,0.000546570261356
18.3,0.0183291739,0.000486944836394
18.4,0.0206864678,0.000555852234026
18.5,0.0191571479,0.000522791890427
18.6,0.0192816933,0.000532987727146
18.7,0.0196344576,0.000549878773771
18.8,0.0204545168,0.000580750810282
18.9,0.0201913046,0.000582045295157
19,0.019041689,0.000557060107257
19.1,0.0209086973,0.000619529412299
19.2,0.0196551794,0.000591827598680
19.3,0.0188981148,0.000576989893791
19.4,0.0203637513,0.000629609275318
19.5,0.0198184693,0.000622132969733
19.6,0.0198488384,0.000632034889056
19.7,0.0209140479,0.000675575057737
19.8,0.0207537202,0.000681407775551
19.9,0.0203279268,0.000678226010053
20,0.0181677567,0.000615514043493
20.1,0.0191070075,0.000654828336463
20.2,0.019006725,0.000660037331992
20.3,0.0174376674,0.000613491970849
20.4,0.0186198913,0.000661857830504
20.5,0.0192280402,0.000691984662756
20.6,0.0203469932,0.000742191019305
20.7,0.018666363,0.000691545080324
20.8,0.0197509675,0.000740960817876
20.9,0.0202535011,0.000770923208453
21,0.0196437746,0.000759371567261
21.1,0.0199406783,0.000782030247826
21.2,0.0195592009,0.000778646938616
21.3,0.0196683461,0.000794288333841
21.4,0.0169355043,0.000693956375558
21.5,0.020193576,0.000835510140999
21.6,0.0188091974,0.000790447648309
21.7,0.0185640529,0.000790418593305
21.8,0.017064146,0.000735815884862
21.9,0.0194932254,0.000849003092464
22,0.0186303048,0.000823190185114
22.1,0.0192836829,0.000863086830492
22.2,0.019314622,0.000876734631234
22.3,0.0174949486,0.000805477901881
22.4,0.0201633491,0.000938501790652
22.5,0.0199381628,0.000942820781384
22.6,0.0199938407,0.000960179906405
22.7,0.018677103,0.000911059732659
22.8,0.0171625512,0.000848310231143
22.9,0.0183148378,0.000914785614957
23,0.0202944552,0.001026501330067
23.1,0.0173975278,0.000894462128932
23.2,0.0182451418,0.000948394884496
23.3,0.0177513832,0.000934390839015
23.4,0.0184767505,0.000983994052284
23.5,0.0198097927,0.001068840956908
23.6,0.0181495198,0.000994658473182
23.7,0.018237653,0.001012082869758
23.8,0.0194660776,0.001094080745540
23.9,0.0178158135,0.001016543151221
24,0.017242612,0.000995725328463
24.1,0.0201201593,0.001174715560293
24.2,0.016988051,0.001008307867771
24.3,0.018726862,0.001123328215616
24.4,0.0186500815,0.001134348281059
24.5,0.0163838105,0.001010325409434
24.6,0.0163888914,0.001020335661663
24.7,0.0192060244,0.001207225277242
24.8,0.0190043366,0.001212508094431
24.9,0.0174909712,0.001132356654954
25,0.0178373823,0.001168425009767
25.1,0.0187807525,0.001245613443253
25.2,0.0187434457,0.001261034052003
25.3,0.0169961724,0.001159920734924
25.4,0.019268647,0.001329506981370
25.5,0.0187693168,0.001315144718711
25.6,0.0191674488,0.001362631004181
25.7,0.016492304,0.001190561984541
25.8,0.0164441894,0.001199245494666
25.9,0.0188907251,0.001391679235133
26,0.0183720616,0.001373793979119
26.1,0.0168557925,0.001278111609136
26.2,0.016846123,0.001291549508940
26.3,0.0163639936,0.001268519160294
26.4,0.0174600914,0.001367288300184
26.5,0.019451666,0.001542098648045
26.6,0.0193844618,0.001562060562831
26.7,0.0173545087,0.001421429041667
26.8,0.0169080238,0.001401972077812
26.9,0.0183933789,0.001542686348616
27,0.0169142783,0.001439279763950
27.1,0.0186410442,0.001604645263798
27.2,0.0186239208,0.001627515809046
27.3,0.0173105411,0.001535781034374
27.4,0.0167957363,0.001508881871086
27.5,0.0164712539,0.001496899528641
